date	hour	precip	drivers_onduty	drivers_occupied	t_onduty	t_occupied	n_pass	n_trip	n_mile	earnings
2010-01-01	0	1	9518	9518	5611.26444444	4623.27277778	51255	26180	62277.01231	247420.28919
2010-01-01	1	1	9920	9920	8625.23277778	6843.78805556	62011	31397	94469.1743486	363962.869729
2010-01-01	2	1	9718	9718	8162.25805556	6197.89166667	55841	28653	92397.7709929	344434.776746
2010-01-01	3	NA	9328	9326	7257.00055556	5164.45222222	47319	24562	83322.8449687	301966.372634
2010-01-01	4	NA	8396	8395	5531.04	3830.47416667	33883	17882	66919.9236309	234940.318828
2010-01-01	5	NA	6026	6024	3261.69027778	2205.31805556	19785	10636	42428.9554936	144146.578207
2010-01-01	6	NA	4349	4349	2258.905	1508.4225	13244	7477	31373.8943511	100609.775775
2010-01-01	7	NA	3715	3715	1742.35027778	1122.46722222	10021	5843	25278.7718859	80367.4914777
2010-01-01	8	NA	3611	3609	1436.75111111	928.471111111	8997	5364	21392.8909669	68394.4586194
2010-01-01	9	NA	4016	4016	1576.08111111	989.288611111	10963	6333	21509.6213797	71525.7332768
2010-01-01	10	NA	4725	4724	2315.54638889	1357.23722222	16193	9049	27829.8268984	94412.7270734
2010-01-01	11	NA	5278	5278	3205.59166667	1868.30416667	22350	12219	35936.91005	124695.228282
2010-01-01	12	NA	5306	5302	3503.90194444	2205.12361111	26891	14555	41316.8562683	147037.062455
2010-01-01	13	NA	5669	5668	3762.11555556	2545.3925	30265	16411	47171.4260445	166888.05348
2010-01-01	14	NA	6255	6255	4385.72083333	2807.065	31651	17078	50846.9984843	180410.686158
2010-01-01	15	NA	6530	6530	4427.90944444	2921.85166667	32624	17363	51144.682628	183932.208659
2010-01-01	16	NA	6795	6795	4061.8225	2918.97638889	32685	17169	48901.9677076	179378.480676
2010-01-01	17	NA	7246	7246	4400.42972222	3129.695	35127	18107	49672.1360656	184657.111344
2010-01-01	18	NA	7703	7701	5031.11333333	3155.01027778	34455	18110	48006.4156435	181680.687769
2010-01-01	19	NA	7828	7828	5204.35333333	3248.90888889	36430	18808	46287.6343803	180782.159153
2010-01-01	20	NA	7546	7545	4403.86777778	2636.80416667	30577	15874	41371.9592804	161064.746248
2010-01-01	21	NA	7406	7406	4247.605	2556.26	30173	15549	42280.0996282	160779.140052
2010-01-01	22	NA	7403	7402	4814.42111111	2955.84583333	34758	17896	48113.7135634	183614.036703
2010-01-01	23	0	7115	7115	4739.22722222	2872.07138889	32034	16781	47177.500619	177231.64767
2010-01-02	0	1	6577	6576	4250.07194444	2545.7125	28812	15130	44025.5228626	161401.303865
2010-01-02	1	1	5585	5585	3240.48083333	1893.49805556	21041	11319	34356.8441325	123732.476557
2010-01-02	2	NA	4436	4436	2515.10527778	1454.23916667	16559	8876	26904.0708783	96670.8933079
2010-01-02	3	NA	3553	3552	2015.59027778	1167.83194444	12957	6913	22860.6788938	79462.8443406
2010-01-02	4	NA	2933	2932	1559.87944444	1013.44027778	9624	5186	21277.4799583	70139.756306
2010-01-02	5	0	2069	2069	814.289166667	567.348888889	4579	2682	12924.1493058	41751.7498477
2010-01-02	6	1	2263	2263	922.838611111	679.5325	5127	3093	16317.353542	50279.7681145
2010-01-02	7	0	2928	2928	1106.52472222	765.103333333	6773	4159	17947.8814944	57693.2477884
2010-01-02	8	NA	3920	3918	1475.5625	969.955	9928	6008	21039.8004304	69422.2272466
2010-01-02	9	NA	5270	5270	2484.23027778	1459.04972222	17138	10026	28400.6777299	99350.716602
2010-01-02	10	NA	6451	6450	3640.35111111	2085.77944444	24916	14180	37074.7570753	134495.283299
2010-01-02	11	NA	7352	7352	4608.70083333	2699.68361111	32030	17835	44289.830002	165686.145187
2010-01-02	12	NA	7675	7672	5325.87666667	3290.64694444	38055	20880	50657.5756423	195264.878056
2010-01-02	13	NA	8205	8205	5896.765	3846.97305556	42111	22841	55102.9818494	217975.493818
2010-01-02	14	NA	8539	8539	6032.23888889	3924.52694444	40648	22094	57957.5291621	223772.545411
2010-01-02	15	NA	8672	8672	6078.04222222	4117.9325	43026	23224	59584.9305151	232432.670689
2010-01-02	16	NA	8573	8572	5285.54138889	3931.34416667	41352	22068	55826.1731996	219021.303284
2010-01-02	17	NA	8828	8825	5759.1825	4421.81361111	46190	24593	60611.9622682	239157.505819
2010-01-02	18	NA	9439	9438	7137.40472222	4863.91305556	50733	26790	63244.0651258	256936.468746
2010-01-02	19	NA	9717	9717	7617.84833333	5322.59444444	56444	29596	66287.9466937	276828.028993
